Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2013-01-01_2015-01-01,CPSH,43.0671,81.7736,0.7812,0.9105,-50.92
2014-01-01_2016-01-01,CPSH,4.6795,50.6956,0.2842,0.2908,-37.5383
2015-01-01_2017-01-01,CPSH,-16.0974,62.6555,-0.0155,-0.018,-65.9303
2016-01-01_2018-01-01,CPSH,-15.1903,65.0923,0.0215,0.0273,-60.2183
2017-01-01_2019-01-01,CPSH,-8.8258,56.3245,0.0568,0.081,-50.4848
2018-01-01_2020-01-01,CPSH,-16.0074,49.1514,-0.172,-0.2176,-52.6826
2019-01-01_2021-01-01,CPSH,28.7759,74.8698,0.6553,0.8442,-55.4571
2020-01-01_2022-01-01,CPSH,55.5962,143.4315,0.8156,1.8792,-88.1368
2021-01-01_2023-01-01,CPSH,-0.5737,132.6351,0.437,1.2189,-90.4053
2022-01-01_2024-01-01,CPSH,-16.3282,54.2193,-0.1287,-0.1927,-57.8167
Average,CPSH,7.4214,86.468,0.3852,0.4964,-60.6014
2004-01-01_2006-01-01,REFR,-18.2619,53.6268,-0.1821,-0.277,-79.2237
2005-01-01_2007-01-01,REFR,-2.8792,55.6808,0.1528,0.2275,-56.5272
2006-01-01_2008-01-01,REFR,19.2694,59.4534,0.5307,0.8185,-48.1641
2007-01-01_2009-01-01,REFR,-25.6944,67.1014,-0.1604,-0.2276,-89.868
2008-01-01_2010-01-01,REFR,-28.1349,66.4117,-0.2131,-0.2788,-82.7574
2009-01-01_2011-01-01,REFR,34.7243,59.8179,0.7418,0.9965,-47.3051
2010-01-01_2012-01-01,REFR,-2.7353,49.8609,0.1278,0.195,-65.8058
2011-01-01_2013-01-01,REFR,-16.0273,45.1758,-0.2322,-0.3677,-69.5455
2012-01-01_2014-01-01,REFR,17.193,44.4345,0.5075,0.7327,-39.7172
2013-01-01_2015-01-01,REFR,10.3229,43.0699,0.37,0.5152,-41.9919
2014-01-01_2016-01-01,REFR,-7.1265,34.7892,-0.1291,-0.1854,-40.0528
2015-01-01_2017-01-01,REFR,-29.6365,35.6067,-0.8956,-1.1622,-73.6665
2016-01-01_2018-01-01,REFR,-41.3107,45.6895,-1.0046,-1.4137,-81.7806
2017-01-01_2019-01-01,REFR,-5.8251,61.9808,0.1585,0.2279,-71.2916
2018-01-01_2020-01-01,REFR,41.3521,67.8922,0.7991,1.1775,-47.8991
2019-01-01_2021-01-01,REFR,22.4271,69.0811,0.5932,0.8065,-64.5542
2020-01-01_2022-01-01,REFR,-18.1214,70.4004,0.0229,0.0295,-68.9897
2021-01-01_2023-01-01,REFR,-12.8356,63.3415,0.0462,0.0638,-73.4804
2022-01-01_2024-01-01,REFR,-18.1154,51.1272,-0.1971,-0.2719,-67.2595
Average,REFR,-4.285,54.9759,0.0545,0.0846,-63.6779
2004-01-01_2006-01-01,NTWK,-5.5598,62.9002,0.1669,0.2308,-64.3621
2005-01-01_2007-01-01,NTWK,-19.088,41.1657,-0.3797,-0.474,-47.151
2006-01-01_2008-01-01,NTWK,11.325,54.9263,0.4028,0.5528,-48.3294
2007-01-01_2009-01-01,NTWK,-23.3601,69.9909,-0.0787,-0.0955,-86.3199
2008-01-01_2010-01-01,NTWK,-22.8417,84.9104,0.0795,0.0987,-91.5879
2009-01-01_2011-01-01,NTWK,40.9965,80.4061,0.7822,1.0521,-74.0359
2010-01-01_2012-01-01,NTWK,-27.7601,59.1223,-0.299,-0.3552,-83.1875
2011-01-01_2013-01-01,NTWK,-34.002,65.0384,-0.3542,-0.4008,-84.039
2012-01-01_2014-01-01,NTWK,9.1486,55.5606,0.3861,0.4088,-67.9785
2013-01-01_2015-01-01,NTWK,-12.9258,51.5146,-0.0715,-0.0837,-79.47
2014-01-01_2016-01-01,NTWK,8.6451,52.1902,0.343,0.5657,-58.6908
